2016-03-31 13:48:47,071 | features | DEBUG    | [0.25098232205526344, 0.3774474680833336, 2.0, 1.7595003445995587, 0.16335091553561773, 4.918376732978067, 4.918376732978067, 2.0, 55.64381049523011, 0.42440324013397973, -48.90625, 126.0, 126.0, 3096.375, 126.0, 0.30541413703794223, 126.0, 0.007649179572650733, -26.0625, 0.24301258837812542, 0.36962136001005813, 1.0, 0.03165514900636017, 5.0, 163150.0]
2016-03-31 13:48:47,072 | features | DEBUG    | [-0.596161870571432, -0.80425116541875208, -0.82053856228483535, -0.89802866547638638, 0.32462075601619383, 0.25235431569736388, 0.25235431569736388, -0.73295090900513293, 0.35879357331333134, -0.76003131710165595, -0.9344407267154281, 1.1304998456349014, 1.1531743555184615, 0.016727741745924993, 1.1553581054984858, 0.42618742383948544, 1.1896740170845805, -0.31566950662210735, -0.62735080030769874, -0.76858048862581596, 0.38140947223716953, -0.84008952700454809, -0.42534291819318476, 1.4363412578814732, 0.71538931360073132]
2016-03-31 13:48:47,119 | features | DEBUG    | [0.21679029382346202, 0.3488843727121475, 2.0, 1.7595003445995587, 0.1261494815115504, 4.917284565692736, 4.917284565692736, 2.0, 55.631638755607085, 0.3601044249247622, -48.890625, 126.0, 126.0, 3095.0, 126.0, 0.2874991470405955, 126.0, 0.004273441987222356, -26.0625, 0.3493526071099058, 0.30611600526020316, 2.0, 0.01220703125, 5.015625, 163098.0]
2016-03-31 13:48:47,121 | features | DEBUG    | [-0.59830918617689988, -0.80646768916949485, -0.82053856228483535, -0.89802866547638638, 0.32460692407342923, 0.25185007399976628, 0.25185007399976628, -0.73295090900513293, 0.35824913726973562, -0.76429660442967873, -0.93376350824481236, 1.1304998456349014, 1.1531743555184615, 0.016267189501691696, 1.1553581054984858, 0.42617335160236564, 1.1896740170845805, -0.3156750760786915, -0.62735080030769874, -0.75681463556268558, 0.38137807320390021, -0.81506417700790768, -0.42540302621941362, 1.437662182928487, 0.71485478849654183]
2016-03-31 13:48:47,538 | features | DEBUG    | [0.21220162006698987, 0.292667953978116, 1.0, 1.3515063852714846, 0.12176395046667486, 4.915447191634755, 4.915447191634755, 1.0, 55.61117257030946, 0.3133354972840896, -48.890625, 126.0, 126.0, 3092.6875, 126.0, 0.20433790310691, 126.0, 0.004038786130971016, -26.03125, 0.30578413465690796, 0.23232210260371897, 2.0, 0.010131932184715258, 4.953125, 162902.0]
2016-03-31 13:48:47,539 | features | DEBUG    | [-0.59859736243537953, -0.81083013748563137, -0.83654318665263583, -0.90593260489169858, 0.32460529347998579, 0.25100177848079069, 0.25100177848079069, -0.75146420203772391, 0.35733369467105791, -0.76739903973524215, -0.93376350824481236, 1.1304998456349014, 1.1531743555184615, 0.015492624363662964, 1.1553581054984858, 0.42610802838733808, 1.1896740170845805, -0.31567546322537293, -0.62594350319589631, -0.76163521253060951, 0.38134158719081201, -0.81506417700790768, -0.42540943969914496, 1.432378482740432, 0.7128400400269046]
2016-03-31 13:48:49,489 | features | DEBUG    | [0.21220162006698987, 0.37079505398608265, 2.0, 1.7595003445995587, 0.12149642753351915, 4.915558943453176, 4.915558943453176, 1.0, 55.611974521325294, 0.4014614051718044, -48.890625, 126.0, 126.0, 3092.8281250000005, 126.0, 0.304070140908745, 126.0, 0.004282666106755613, -26.015625, 0.21679029382346202, 0.3454768482595725, 2.0, 0.01606926827576268, 5.046875, 162806.0]
2016-03-31 13:48:49,490 | features | DEBUG    | [-0.59859736243537953, -0.80476739916914619, -0.82053856228483535, -0.89802866547638638, 0.32460519401172616, 0.25105337307384179, 0.25105337307384179, -0.75146420203772391, 0.35736956555326038, -0.76155317279413426, -0.93376350824481236, 1.1304998456349014, 1.1531743555184615, 0.015539726297732431, 1.1553581054984858, 0.42618636812958988, 1.1896740170845805, -0.31567506086028901, -0.6252398546399951, -0.77148182030120782, 0.38139753443553509, -0.81506417700790768, -0.42539108925732017, 1.4403040330225143, 0.71185322444993937]
2016-03-31 13:48:51,440 | features | DEBUG    | [0.33164764054688367, 0.3788181881645609, 2.0, 1.7595003445995587, 0.2536336541006405, 4.916763218508189, 4.916763218508189, 2.0, 55.625546000908784, 0.41620709563472474, -48.875, 126.0, 126.0, 3094.34375, 126.0, 0.3177847777374476, 126.0, 0.011367546080039575, -26.078125, 0.26942268404342895, 0.3650780742796994, 1.0, 0.024988102698859514, 5.015625, 163144.0]
2016-03-31 13:48:51,440 | features | DEBUG    | [-0.59109595590726516, -0.80414479621834944, -0.82053856228483535, -0.89802866547638638, 0.32465432422949603, 0.25160937370329667, 0.25160937370329667, -0.73295090900513293, 0.35797661129027203, -0.76057501158743401, -0.93308628977419661, 1.1304998456349014, 1.1531743555184615, 0.016047380476034892, 1.1553581054984858, 0.4261971409863704, 1.1896740170845805, -0.31566337187960947, -0.62805444886359985, -0.76565837794079772, 0.38140722589463094, -0.84008952700454809, -0.42536352394019533, 1.437662182928487, 0.715327637627171]
2016-03-31 13:48:53,378 | features | DEBUG    | [1.82387652831851, 3.3792615221032274, 12.0, 20.26765575574492, 2.132782290421208, 4.830816907334359, 4.830816907334359, 10.0, 54.550702843259764, 1.7824604776349766, -48.4375, 49.0, 58.0, 2987.109375, 48.0, 1.362970965502257, 50.0, 0.7291342699421901, -24.25, 5.228631051926054, 2.546321949859348, 31.0, 0.4422665599362003, 4.390625, 151300.0]
2016-03-31 13:48:53,378 | features | DEBUG    | [-0.49738152762243792, -0.57130749948959181, -0.66049231860682989, -0.53947595724561925, 0.3253530144027571, 0.21192890127878122, 0.21192890127878122, -0.58484456474440549, 0.30989939518476167, -0.66994405333179019, -0.91412417259695633, -0.24560446580042877, -0.066638382712682159, -0.019870461025932526, -0.30594011897921958, 0.42701813546477924, -0.26219496229203504, -0.314479165315872, -0.54572756782315845, -0.21695321819161081, 0.38248570107656471, -0.089329027105335038, -0.42407384723386432, 1.3848251810479377, 0.59357926581909048]
2016-03-31 13:48:55,322 | features | DEBUG    | [13.770823530517752, 6.9303614695307205, 67.0, 28.339719889220902, -323.5097464884314, 2.2433168976150024, 2.2433168976150024, 50.0, 24.42338169816554, 12.88347802053125, -4.484375, 17.0, 20.0, 644.15625, 15.0, -26.504740360328306, 25.0, 126.92939623316119, 12.125, 8.231875820708124, -201.4590389396986, 50.0, 46.307524482721384, -7.546875, -4286.0]
2016-03-31 13:48:55,323 | features | DEBUG    | [0.25290639216991673, -0.29573871842973537, 0.21976202162219977, -0.38309838250754613, 0.20427518668011299, -0.98269157029028764, -0.98269157029028764, 0.15568715655923213, -1.0376811509303951, 0.066446334264129783, 0.99089138524507447, -0.81749197185147504, -0.74829844231243881, -0.80463578455478468, -0.92418167548901808, 0.40512802880988302, -0.73978344235013238, -0.1062678153133504, 1.0923662703148558, 0.11533689312792192, 0.28161907118523394, 0.38615262283083324, -0.28231873443819266, 0.37563844512944938, -1.0057404045736837]
2016-03-31 13:48:57,273 | features | DEBUG    | [2.2726874549124734, 1.5340288755991323, 16.0, 9.241979173519116, 3.2167217422842533, 1.808117006549908, 1.808117006549908, 18.0, 20.39936004222183, 2.5866385172454303, 0.046875, 120.0, 50.0, 418.46875, 63.0, 2.3288763843986087, 51.0, 0.5308156552938127, 19.0625, 1.1346371996383469, 2.927354288177721, 9.0, 1.082507897226793, 6.484375, -70.0]
2016-03-31 13:48:57,273 | features | DEBUG    | [-0.46919546331393497, -0.71449933263902166, -0.59647382113562775, -0.75307294251044976, 0.32575603619080973, -1.1836186030006679, -1.1836186030006679, -0.43673822048367794, -1.2176736990424546, -0.61659858513515442, 1.1872847417236343, 1.0232709382503302, -0.21014576368105198, -0.88022915518780487, -0.024921229656583936, 0.42777685484402672, -0.24309142308971118, -0.31480636104307741, 1.4047862291349924, -0.6699278431902439, 0.38267409537992125, -0.63988672703142457, -0.42209506226470805, 1.5618291373477775, -0.96240275381862916]
2016-03-31 13:48:59,236 | features | DEBUG    | [0.49181289253113575, 0.3620522255076415, 1.0, 2.215954139406815, 0.4621703921642548, 1.7713885465398325, 1.7713885465398325, 2.0, 20.037728595394164, 0.21220162006698987, -0.046875, 126.0, 126.0, 401.640625, 126.0, 0.29033584720050165, 126.0, 0.0322022016970183, 19.015625, 0.33164764054688367, 0.12185472225461988, 2.0, 0.004245858461936107, 6.296875, -114.0]
2016-03-31 13:48:59,236 | features | DEBUG    | [-0.58103731467347031, -0.80544585109178635, -0.83654318665263583, -0.88918592881923708, 0.32473186070895954, -1.2005757315233461, -1.2005757315233461, -0.73295090900513293, -1.2338492992646402, -0.77410779546463349, 1.18322143089994, 1.1304998456349014, 1.1531743555184615, -0.88586568663143295, 1.1553581054984858, 0.42617557983231685, 1.1896740170845805, -0.31562899784816634, 1.4026752834672889, -0.75877357856036909, 0.38128696866353334, -0.81506417700790768, -0.42542763170508341, 1.5459780367836127, -0.96285504429140489]
2016-03-31 13:49:01,186 | features | DEBUG    | [0.4513758494650716, 0.3204654445572606, 2.0, 2.215954139406815, 0.41994941616131776, 1.774796423184924, 1.774796423184924, 1.0, 20.076991911831815, 0.2490138028619057, -0.03125, 126.0, 126.0, 403.1875, 126.0, 0.22964607817469487, 126.0, 0.024953915283445365, 19.0625, 0.3009172329767144, 0.15837315795542387, 2.0, 0.006620915828156457, 6.28125, -78.0]
2016-03-31 13:49:01,187 | features | DEBUG    | [-0.58357682748113626, -0.80867302540519914, -0.82053856228483535, -0.88918592881923708, 0.32471616243982393, -1.1990023521264317, -1.1990023521264317, -0.75146420203772391, -1.2320930700548633, -0.77166584476490252, 1.1838986493705557, 1.1304998456349014, 1.1531743555184615, -0.88534756535667047, 1.1553581054984858, 0.4261279079764797, 1.1896740170845805, -0.31564095642476436, 1.4047862291349924, -0.76217370453695654, 0.38130502452011472, -0.81506417700790768, -0.42542029114841601, 1.544657111736599, -0.96248498845004293]
2016-03-31 13:49:03,138 | features | DEBUG    | [0.5133551057181852, 0.3461825668149661, 1.0, 1.5663207312079273, 0.4851889955780756, 1.7811472009810139, 1.7811472009810139, 2.0, 20.14842968816542, 0.3133354972840896, -0.109375, 126.0, 126.0, 406.078125, 126.0, 0.2586863415996187, 126.0, 0.030900523070049743, 19.109375, 0.3133354972840896, 0.23237243326838056, 1.0, 0.008319616590324364, 6.359375, -268.0]
2016-03-31 13:49:03,138 | features | DEBUG    | [-0.5796844282568101, -0.80667735191308676, -0.83654318665263583, -0.90177107372928178, 0.32474041930389796, -1.1960702674357659, -1.1960702674357659, -0.73295090900513293, -1.2288976927698647, -0.76739903973524215, 1.180512557017477, 1.1304998456349014, 1.1531743555184615, -0.88437935893413455, 1.1553581054984858, 0.42615071912362507, 1.1896740170845805, -0.31563114542107923, 1.4068971748026959, -0.76079970183428414, 0.38134161207586648, -0.84008952700454809, -0.42541504099766897, 1.5512617369716675, -0.96443806094611984]
