2016-03-31 13:48:47,075 | svm      | DEBUG    | Saida Pos_Classe > Classe=3 Prob=0.961963 (limiar=0.500000)
2016-03-31 13:48:47,122 | svm      | DEBUG    | Saida Pos_Classe > Classe=3 Prob=0.962912 (limiar=0.500000)
2016-03-31 13:48:47,542 | svm      | DEBUG    | Saida Pos_Classe > Classe=3 Prob=0.962584 (limiar=0.500000)
2016-03-31 13:48:49,493 | svm      | DEBUG    | Saida Pos_Classe > Classe=3 Prob=0.961480 (limiar=0.500000)
2016-03-31 13:48:51,444 | svm      | DEBUG    | Saida Pos_Classe > Classe=3 Prob=0.961897 (limiar=0.500000)
2016-03-31 13:48:53,381 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.459855 (limiar=0.500000)
2016-03-31 13:48:55,325 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.461233 (limiar=0.500000)
2016-03-31 13:48:57,276 | svm      | DEBUG    | Saida Pos_Classe > Classe=8 Prob=0.581707 (limiar=0.500000)
2016-03-31 13:48:59,240 | svm      | DEBUG    | Saida Pos_Classe > Classe=1 Prob=0.683918 (limiar=0.500000)
2016-03-31 13:49:01,190 | svm      | DEBUG    | Saida Pos_Classe > Classe=1 Prob=0.618564 (limiar=0.500000)
2016-03-31 13:49:03,141 | svm      | DEBUG    | Saida Pos_Classe > Classe=1 Prob=0.531801 (limiar=0.500000)
2016-03-31 13:49:05,078 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.133817 (limiar=0.500000)
2016-03-31 13:49:07,028 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.592203 (limiar=0.500000)
2016-03-31 13:49:08,992 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.596393 (limiar=0.500000)
2016-03-31 13:49:10,943 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.596341 (limiar=0.500000)
2016-03-31 13:49:12,891 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.596372 (limiar=0.500000)
2016-03-31 13:49:14,832 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.596391 (limiar=0.500000)
2016-03-31 13:49:16,775 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.550898 (limiar=0.500000)
2016-03-31 13:49:18,819 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.413824 (limiar=0.500000)
2016-03-31 13:49:20,772 | svm      | DEBUG    | Saida Pos_Classe > Classe=8 Prob=0.672423 (limiar=0.500000)
2016-03-31 13:49:22,736 | svm      | DEBUG    | Saida Pos_Classe > Classe=2 Prob=0.885169 (limiar=0.500000)
2016-03-31 13:49:24,671 | svm      | DEBUG    | Saida Pos_Classe > Classe=8 Prob=0.639581 (limiar=0.500000)
2016-03-31 13:49:26,634 | svm      | DEBUG    | Saida Pos_Classe > Classe=8 Prob=0.963475 (limiar=0.500000)
2016-03-31 13:49:28,585 | svm      | DEBUG    | Saida Pos_Classe > Classe=8 Prob=0.969985 (limiar=0.500000)
2016-03-31 13:49:30,559 | svm      | DEBUG    | Saida Pos_Classe > Classe=8 Prob=0.968057 (limiar=0.500000)
2016-03-31 13:49:32,500 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.421774 (limiar=0.500000)
2016-03-31 13:49:34,440 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.262380 (limiar=0.500000)
2016-03-31 13:49:36,390 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.226127 (limiar=0.500000)
2016-03-31 13:49:38,338 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.252228 (limiar=0.500000)
2016-03-31 13:49:40,290 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.354776 (limiar=0.500000)
2016-03-31 13:49:42,242 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.438329 (limiar=0.500000)
2016-03-31 13:49:44,407 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.360315 (limiar=0.500000)
2016-03-31 13:49:46,355 | svm      | DEBUG    | Saida Pos_Classe > Classe=1 Prob=0.584301 (limiar=0.500000)
2016-03-31 13:49:48,308 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.469213 (limiar=0.500000)
2016-03-31 13:49:50,257 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.552187 (limiar=0.500000)
2016-03-31 13:49:52,207 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.529331 (limiar=0.500000)
2016-03-31 13:49:54,160 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.388182 (limiar=0.500000)
2016-03-31 13:49:56,109 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.399070 (limiar=0.500000)
2016-03-31 13:49:58,079 | svm      | DEBUG    | Saida Pos_Classe > Classe=9 Prob=0.328617 (limiar=0.500000)
2016-03-31 13:50:00,038 | svm      | DEBUG    | Saida Pos_Classe > Classe=5 Prob=0.576620 (limiar=0.500000)
